Date,Company Name,Quater,Price,Open,High,Low,Close,Adj Close,Volume
2024-07-30,Google,Q3,170.2899933,170.2400055,171.2299957,168.4400024,170.2899933,169.8696442,18959700.0
2024-07-31,Google,Q3,171.5399933,173.2400055,174.25,170.0099945,171.5399933,171.1165466,25729100.0
2024-08-01,Google,Q3,170.7599945,170.25,174.0500031,168.8800049,170.7599945,170.3384857,24531400.0
2024-08-02,Google,Q3,166.6600037,166.4400024,168.5099945,164.6699982,166.6600037,166.2486267,29130100.0
2024-08-05,Google,Q3,159.25,155.5,164.4299927,154.9299927,159.25,158.8569031,53630700.0
2024-08-06,Google,Q3,158.2899933,159.3300018,160.5700073,156.4100037,158.2899933,157.8992767,49004600.0
2024-08-07,Google,Q3,158.9400024,161.25,162.9799957,158.4700012,158.9400024,158.5476685,25138600.0
2024-08-08,Google,Q3,162.0299988,160.5099945,163.6900024,160.2100067,162.0299988,161.6300354,25578800.0
2024-08-09,Google,Q3,163.6699982,160.0099945,163.7899933,159.0599976,163.6699982,163.2659912,28602300.0
2024-08-12,Google,Q3,162.2899933,164.3500061,164.8999939,161.8399963,162.2899933,161.889389,15895300.0
2024-08-13,Google,Q3,164.1600037,163.4100037,164.7299957,162.9700012,164.1600037,163.754776,18551700.0
2024-08-14,Google,Q3,160.3699951,162.3999939,163.2200012,157.7100067,160.3699951,159.9741211,40591100.0
2024-08-15,Google,Q3,161.3000031,160.5,161.6399994,159.6100006,161.3000031,160.9018555,31524300.0
2024-08-16,Google,Q3,162.9600067,161.4700012,165.0599976,161.1300049,162.9600067,162.5577545,24208600.0
2024-08-19,Google,Q3,166.6699982,165.2799988,166.6900024,164.2599945,166.6699982,166.2585907,22416200.0
2024-08-20,Google,Q3,167.1799927,166.8999939,168.6399994,166.8200073,167.1799927,166.7673187,18341500.0
2024-08-21,Google,Q3,165.8500061,165.1499939,166.8500061,164.6699982,165.8500061,165.4406128,22902000.0
2024-08-22,Google,Q3,163.8000031,167.2599945,167.5899963,163.3099976,163.8000031,163.3956757,22493300.0
2024-08-23,Google,Q3,165.6199951,164.7200012,166.1799927,163.8300018,165.6199951,165.2111816,13955700.0
2024-08-26,Google,Q3,166.1600037,166.3800049,167.5500031,164.4600067,166.1600037,165.7498474,14190400.0
2024-08-27,Google,Q3,164.6799927,165.8399963,166.4400024,164.4600067,164.6799927,164.2734833,11821900.0
2024-08-28,Google,Q3,162.8500061,165.0399933,165.6000061,161.5299988,162.8500061,162.4480133,16407400.0
